Season,Anime Name,Anime Score,Anime Members,Anime Genres,More Info,Rank
winter,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,997K,"Drama, Fantasy, Ecchi",https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,1
spring,Boku no Hero Academia 5th Season,7.42,954K,Action,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,2
winter,Dr. Stone: Stone Wars,8.18,857K,"Adventure, Comedy, Sci-Fi",https://myanimelist.net/anime/40852/Dr_Stone__Stone_Wars,3
winter,Tensei shitara Slime Datta Ken 2nd Season,8.40,771K,"Action, Adventure, Comedy, Fantasy",https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,4
winter,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.47,733K,"Drama, Fantasy, Suspense",https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,5
spring,Fumetsu no Anata e,8.38,711K,"Adventure, Drama, Supernatural",https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,6
fall,"Komi-san wa, Comyushou desu.",8.00,697K,Comedy,https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu,7
fall,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.73,645K,"Drama, Fantasy, Ecchi",https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,8
winter,Yakusoku no Neverland 2nd Season,5.34,825K,"Sci-Fi, Suspense",https://myanimelist.net/anime/39617/Yakusoku_no_Neverland_2nd_Season,9
winter,Wonder Egg Priority,7.69,652K,"Drama, Fantasy",https://myanimelist.net/anime/43299/Wonder_Egg_Priority,10
spring,"Ijiranaide, Nagatoro-san",7.36,669K,Comedy,https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san,11
winter,5-toubun no Hanayome ∬,8.11,592K,"Comedy, Romance",https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬,12
summer,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.32,578K,"Action, Adventure, Comedy, Fantasy",https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2,13
spring,86,8.26,574K,"Action, Drama, Sci-Fi",https://myanimelist.net/anime/41457/86,14
fall,Kimetsu no Yaiba: Mugen Ressha-hen,8.38,482K,"Action, Fantasy",https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen,15
fall,Ousama Ranking,8.59,462K,"Adventure, Fantasy",https://myanimelist.net/anime/40834/Ousama_Ranking,16
summer,Kobayashi-san Chi no Maid Dragon S,8.35,467K,"Fantasy, SliceofLife",https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S,17
spring,Vivy: Fluorite Eye's Song,8.44,443K,"Action, Sci-Fi, Suspense",https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,18
spring,Hige wo Soru. Soshite Joshikousei wo Hirou.,7.29,517K,"Drama, Romance",https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou,19
winter,SK∞,8.03,466K,Sports,https://myanimelist.net/anime/42923/SK∞,20
spring,Fruits Basket: The Final,9.03,372K,"Drama, Romance, Supernatural",https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,21
summer,Vanitas no Karte,7.91,412K,Supernatural,https://myanimelist.net/anime/48580/Vanitas_no_Karte,22
fall,86 Part 2,8.72,345K,"Action, Drama, Sci-Fi",https://myanimelist.net/anime/48569/86_Part_2,23
winter,Kaifuku Jutsushi no Yarinaoshi,6.33,497K,"Adventure, Drama, Fantasy, Ecchi",https://myanimelist.net/anime/40750/Kaifuku_Jutsushi_no_Yarinaoshi,24
spring,Odd Taxi,8.72,334K,Mystery,https://myanimelist.net/anime/46102/Odd_Taxi,25
winter,Beastars 2nd Season,7.83,381K,"Drama, SliceofLife",https://myanimelist.net/anime/40935/Beastars_2nd_Season,26
fall,Takt Op. Destiny,7.16,421K,"Action, Fantasy",https://myanimelist.net/anime/48556/Takt_Op_Destiny,27
fall,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",7.38,399K,"Action, Drama, Fantasy, Mystery, Romance",https://myanimelist.net/anime/47790/Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru,28
fall,Blue Period,7.84,367K,"Drama, SliceofLife",https://myanimelist.net/anime/46352/Blue_Period,29
fall,Mieruko-chan,7.45,392K,"Comedy, Horror, Supernatural",https://myanimelist.net/anime/48483/Mieruko-chan,30
winter,"Kumo Desu ga, Nani ka?",7.45,351K,"Action, Adventure, Comedy, Fantasy, Mystery",https://myanimelist.net/anime/37984/Kumo_Desu_ga_Nani_ka,31
summer,Tsuki ga Michibiku Isekai Douchuu,7.72,301K,"Action, Adventure, Comedy, Fantasy",https://myanimelist.net/anime/43523/Tsuki_ga_Michibiku_Isekai_Douchuu,32
winter,Kemono Jihen,7.41,319K,"Action, Mystery, Supernatural",https://myanimelist.net/anime/40908/Kemono_Jihen,33
winter,Nanatsu no Taizai: Fundo no Shinpan,6.58,360K,"Action, Adventure, Fantasy, Supernatural",https://myanimelist.net/anime/41491/Nanatsu_no_Taizai__Fundo_no_Shinpan,34
spring,"Sentouin, Hakenshimasu!",7.18,312K,"Action, Comedy, Fantasy",https://myanimelist.net/anime/41456/Sentouin_Hakenshimasu,35
summer,Genjitsu Shugi Yuusha no Oukoku Saikenki,7.23,304K,"Action, Fantasy, Romance",https://myanimelist.net/anime/41710/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki,36
spring,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,6.72,337K,"Comedy, Fantasy, Ecchi",https://myanimelist.net/anime/41623/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu_Ω,37
spring,Tensura Nikki: Tensei shitara Slime Datta Ken,7.58,278K,"Comedy, Fantasy, SliceofLife",https://myanimelist.net/anime/41488/Tensura_Nikki__Tensei_shitara_Slime_Datta_Ken,38
spring,Mairimashita! Iruma-kun 2nd Season,8.08,238K,"Comedy, Fantasy, Supernatural",https://myanimelist.net/anime/41402/Mairimashita_Iruma-kun_2nd_Season,39
fall,Senpai ga Uzai Kouhai no Hanashi,7.66,263K,"Comedy, SliceofLife",https://myanimelist.net/anime/42351/Senpai_ga_Uzai_Kouhai_no_Hanashi,40
winter,Jaku-Chara Tomozaki-kun,7.14,298K,"Drama, Romance",https://myanimelist.net/anime/40530/Jaku-Chara_Tomozaki-kun,41
summer,Bokutachi no Remake,7.43,278K,"Drama, Romance, SliceofLife",https://myanimelist.net/anime/40904/Bokutachi_no_Remake,42
spring,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",6.96,307K,"Comedy, Fantasy, SliceofLife",https://myanimelist.net/anime/40586/Slime_Taoshite_300-nen_Shiranai_Uchi_ni_Level_Max_ni_Nattemashita,43
summer,Sonny Boy,7.74,243K,Mystery,https://myanimelist.net/anime/48849/Sonny_Boy,44
winter,Yuru Camp△ Season 2,8.53,187K,SliceofLife,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,45
spring,Yuukoku no Moriarty Part 2,8.25,197K,"Mystery, Suspense",https://myanimelist.net/anime/43325/Yuukoku_no_Moriarty_Part_2,46
summer,Seirei Gensouki,7.05,274K,"Action, Adventure, Drama, Fantasy, Romance",https://myanimelist.net/anime/44203/Seirei_Gensouki,47
fall,Platinum End,6.10,334K,"Drama, Supernatural",https://myanimelist.net/anime/44961/Platinum_End,48
