index,Anime Genres,Anime Members,Anime Score
528,"['Supernatural', 'Suspense']",3500000.0,8.62
1552,"['Action', 'Drama']",3500000.0,8.53
1018,"['Action', 'Adventure', 'Drama', 'Fantasy']",3000000.0,9.13
1826,"['Action', 'Comedy']",2900000.0,8.51
1447,"['Action', 'Adventure', 'Fantasy', 'Romance']",2800000.0,7.20
2131,['Action'],2700000.0,7.92
132,"['Action', 'Adventure', 'Fantasy']",2600000.0,7.97
1783,"['Action', 'Fantasy', 'Horror']",2600000.0,7.79
2754,"['Action', 'Fantasy']",2500000.0,8.53
1185,"['Action', 'Adventure', 'Fantasy']",2500000.0,9.04
2333,"['Action', 'Drama']",2400000.0,8.50
1241,"['Drama', 'SciFi', 'Suspense']",2300000.0,9.08
2334,['Action'],2300000.0,8.14
1732,"['Comedy', 'Fantasy', 'Ecchi']",2200000.0,8.10
723,"['Action', 'Adventure', 'Fantasy']",2200000.0,8.24
2132,"['Drama', 'Fantasy', 'Suspense']",2000000.0,8.24
823,"['Drama', 'Romance']",2000000.0,8.10
2840,"['Action', 'Fantasy']",2000000.0,8.67
2615,"['Action', 'Drama']",2000000.0,8.62
1688,"['Action', 'Fantasy']",2000000.0,7.96
529,"['Action', 'Drama', 'SciFi']",2000000.0,8.70
1643,"['Drama', 'Romance']",2000000.0,8.66
2085,['Mystery'],1900000.0,8.31
1644,"['Action', 'Adventure', 'Fantasy']",1900000.0,7.70
1186,"['Action', 'Supernatural', 'Suspense']",1900000.0,7.44
1133,"['Drama', 'Supernatural']",1900000.0,8.07
2755,"['Action', 'Drama']",1900000.0,9.07
1784,"['Action', 'Fantasy']",1900000.0,7.47
2549,['Action'],1900000.0,8.07
2189,"['Action', 'Comedy', 'Supernatural']",1800000.0,8.48
1785,"['Action', 'Adventure', 'Fantasy', 'Romance']",1800000.0,6.70
1882,"['Action', 'Comedy']",1800000.0,8.10
1242,"['Action', 'Fantasy']",1800000.0,7.51
1733,['Sports'],1700000.0,8.45
2714,"['Mystery', 'SciFi', 'Suspense']",1700000.0,8.53
1645,"['Action', 'Horror', 'SciFi']",1700000.0,8.35
306,"['Action', 'Adventure', 'Fantasy']",1700000.0,7.87
2086,"['Adventure', 'Comedy', 'Fantasy']",1700000.0,8.12
1883,"['Action', 'Fantasy', 'Horror']",1600000.0,7.03
2499,"['Drama', 'Fantasy', 'SliceofLife']",1600000.0,8.67
1474,"['Action', 'Comedy', 'Ecchi']",1600000.0,8.04
890,"['Action', 'Drama', 'SciFi']",1600000.0,8.91
1884,"['Drama', 'Supernatural', 'Suspense']",1600000.0,8.16
956,"['Action', 'Adventure', 'Fantasy']",1600000.0,7.58
2442,"['Comedy', 'Drama', 'Romance', 'Supernatural']",1500000.0,8.26
2667,['Action'],1500000.0,7.94
2802,"['Adventure', 'Comedy', 'SciFi']",1500000.0,8.29
2715,['Comedy'],1500000.0,8.41
1919,"['Gourmet', 'Ecchi']",1500000.0,8.17
1331,"['Action', 'Adventure', 'Supernatural']",1500000.0,7.91
1371,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",1500000.0,7.49
2756,"['Action', 'Comedy']",1500000.0,7.47
749,"['Action', 'Adventure', 'Comedy', 'SciFi']",1500000.0,8.63
891,"['Action', 'Comedy', 'Fantasy', 'Supernatural']",1500000.0,7.84
1330,"['Action', 'SciFi', 'Suspense']",1500000.0,8.35
2500,"['Action', 'Drama', 'Romance', 'SciFi']",1500000.0,7.23
1243,"['Drama', 'SliceofLife', 'Supernatural']",1500000.0,8.32
209,"['Action', 'Adventure', 'Drama', 'Fantasy']",1400000.0,8.12
1553,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",1400000.0,7.77
1920,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",1400000.0,7.56
1164,"['Action', 'Horror', 'Supernatural', 'Ecchi']",1400000.0,7.08
1968,['Drama'],1400000.0,7.75
1969,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",1400000.0,7.92
404,"['Action', 'Drama', 'Horror', 'Romance', 'Supernatural']",1400000.0,7.50
2716,"['Action', 'Adventure', 'Drama', 'Fantasy']",1400000.0,8.01
1187,"['Action', 'Fantasy', 'Supernatural']",1400000.0,8.29
2238,"['Action', 'Comedy', 'Fantasy']",1400000.0,8.13
1828,['Sports'],1300000.0,8.64
2393,"['Drama', 'Mystery']",1300000.0,7.26
1111,"['Action', 'Mystery', 'Supernatural']",1300000.0,8.12
2087,"['Action', 'Comedy']",1300000.0,8.50
1554,"['Comedy', 'Romance']",1300000.0,8.02
1827,"['Action', 'Fantasy']",1300000.0,8.17
2717,"['Action', 'Comedy', 'Supernatural']",1300000.0,8.81
2288,"['Adventure', 'Comedy', 'Fantasy']",1300000.0,8.28
1057,"['Mystery', 'Romance', 'Supernatural']",1300000.0,8.34
1372,"['Comedy', 'Romance', 'Ecchi']",1300000.0,7.34
688,"['Drama', 'Romance', 'Supernatural']",1300000.0,8.01
2443,"['Action', 'Adventure', 'Comedy', 'Fantasy']",1200000.0,8.13
1398,"['Mystery', 'SliceofLife']",1200000.0,8.09
2803,"['Action', 'Adventure', 'Drama']",1200000.0,8.73
2133,"['Action', 'Comedy', 'Mystery', 'Supernatural']",1200000.0,7.82
1921,"['Action', 'Drama', 'Supernatural']",1200000.0,7.49
1333,"['Drama', 'Romance']",1200000.0,8.10
1332,"['Comedy', 'Romance']",1200000.0,7.72
2394,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'SciFi']",1200000.0,8.67
1220,"['Drama', 'Suspense']",1200000.0,8.36
2929,['Comedy'],1100000.0,8.65
2289,"['Fantasy', 'SliceofLife']",1100000.0,7.99
1734,"['Action', 'Adventure', 'Drama', 'Supernatural']",1100000.0,8.10
1786,"['Mystery', 'Suspense']",1100000.0,8.10
825,"['Action', 'Comedy', 'Mystery', 'Supernatural']",1100000.0,7.68
1689,"['Comedy', 'Romance']",1100000.0,7.59
1399,['Sports'],1100000.0,8.07
2804,"['Action', 'Supernatural']",1100000.0,7.70
1134,"['Comedy', 'Romance']",1100000.0,8.01
1188,"['Action', 'Drama', 'SciFi']",1100000.0,7.43
1475,"['Fantasy', 'SliceofLife', 'Supernatural']",1100000.0,7.74
370,"['Action', 'Adventure', 'Comedy']",1100000.0,8.50
824,"['Drama', 'Romance', 'Supernatural']",1100000.0,8.94
1244,"['Action', 'Horror', 'SciFi', 'Supernatural']",1100000.0,7.16
2021,['Sports'],1100000.0,8.79
2395,['Drama'],1000000.0,7.86
2190,"['Gourmet', 'Ecchi']",1000000.0,8.11
2550,"['Action', 'Fantasy', 'Horror']",1000000.0,6.38
2501,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",1000000.0,7.62
2718,"['Action', 'Adventure', 'Supernatural']",1000000.0,8.24
1400,"['Action', 'Fantasy', 'Supernatural']",1000000.0,8.56
1476,"['Action', 'Adventure', 'Fantasy']",1000000.0,7.94
603,"['Comedy', 'Romance']",1000000.0,8.16
1334,"['Comedy', 'Romance']",981000.0,7.48
2444,"['Action', 'Adventure', 'Fantasy']",972000.0,7.42
2134,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",970000.0,8.50
1646,"['Action', 'Fantasy', 'Supernatural']",969000.0,8.19
1019,['Comedy'],967000.0,7.85
1735,"['Action', 'Romance', 'SciFi', 'Supernatural']",967000.0,7.43
1885,"['Action', 'Adventure', 'Drama', 'Supernatural']",966000.0,8.44
604,"['Action', 'Comedy', 'SciFi']",964000.0,8.95
2976,"['Drama', 'Fantasy', 'Suspense']",962000.0,8.36
1335,"['Action', 'Adventure', 'Fantasy']",958000.0,8.02
1922,"['Comedy', 'Romance']",956000.0,8.22
2191,"['Comedy', 'Supernatural']",954000.0,8.42
1555,"['Comedy', 'Romance', 'SciFi']",938000.0,7.17
2192,"['Drama', 'Romance', 'SliceofLife']",932000.0,7.98
1477,"['Comedy', 'Drama', 'Romance']",929000.0,7.75
2445,"['Action', 'Adventure', 'Fantasy']",924000.0,7.56
1970,"['Comedy', 'Romance', 'Ecchi']",911000.0,7.62
1736,"['Action', 'Adventure', 'Fantasy']",903000.0,7.66
605,['Action'],899000.0,8.03
371,"['Drama', 'Mystery', 'Suspense']",891000.0,8.84
2502,"['Action', 'Adventure', 'Fantasy', 'Supernatural']",890000.0,7.76
2239,"['Gourmet', 'Ecchi']",887000.0,8.03
576,"['Action', 'Fantasy', 'Romance', 'Supernatural']",880000.0,7.29
750,"['Action', 'Mystery', 'SciFi']",878000.0,8.07
2446,"['Action', 'Adventure']",874000.0,8.58
1601,"['Horror', 'Mystery']",867000.0,7.22
606,"['Comedy', 'Mystery', 'SciFi', 'SliceofLife']",859000.0,7.84
1737,"['Action', 'Mystery', 'SciFi']",858000.0,7.11
1787,"['Comedy', 'Romance']",856000.0,7.85
1923,"['Drama', 'Romance', 'SciFi']",854000.0,7.92
1829,"['Action', 'Fantasy', 'Romance', 'Ecchi']",850000.0,7.46
2551,['Romance'],848000.0,7.95
800,"['Action', 'Comedy', 'Mystery', 'Supernatural']",845000.0,8.38
1602,"['Action', 'Comedy', 'Romance', 'Ecchi']",842000.0,7.49
2977,"['Comedy', 'Romance']",838000.0,7.17
1788,"['Drama', 'Romance', 'SliceofLife']",829000.0,7.65
957,"['Drama', 'Romance', 'SliceofLife']",826000.0,8.00
2719,"['Comedy', 'Romance']",809000.0,7.67
2290,['Action'],806000.0,7.97
1245,['Comedy'],806000.0,8.46
2240,['Fantasy'],805000.0,8.07
2022,['Sports'],805000.0,7.91
2888,['Sports'],803000.0,8.36
1336,"['Action', 'SciFi']",801000.0,7.31
2930,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",799000.0,7.56
1924,"['Action', 'Comedy', 'Fantasy', 'Supernatural']",792000.0,7.61
2978,"['Action', 'Fantasy', 'SciFi', 'Supernatural']",788000.0,7.07
1925,"['Action', 'Fantasy', 'Supernatural']",782000.0,8.32
2552,"['Drama', 'SciFi', 'Suspense']",781000.0,8.52
