,Name,Gender,Born in,Birth,Death,Age,Movies/Series
0,Milly Alcock,F,"Sydney, Australia",11/4/2000,Alive,22.0,14.0
1,Emma D'Arcy,F,,,,,11.0
2,Morfydd Clark,F,Sweden,17/3/1990,Alive,32.0,27.0
3,Emily Carey,F,"London, England, UK",30/4/2003,Alive,19.0,15.0
4,Olivia Cooke,F,"Oldham, Greater Manchester, England, UK",27/12/1993,Alive,28.0,26.0
5,Matt Smith,M,"Northampton, Northamptonshire, England, UK",28/10/1982,Alive,39.0,49.0
6,Eve Best,F,"London, England, UK",31/7/1971,Alive,51.0,29.0
7,Paddy Considine,M,"Burton-on-Trent, Staffordshire, England, UK",5/9/1973,Alive,49.0,47.0
8,Nazanin Boniadi,F,"Tehran, Iran",22/5/1980,Alive,42.0,33.0
9,Isabelle Fuhrman,F,"Washington, District of Columbia, USA",25/2/1997,Alive,25.0,43.0
10,Lily-Rose Depp,F,"Neuilly-sur-Seine, Hauts-de-Seine, France",27/5/1999,Alive,23.0,16.0
11,Charlbi Dean,F,"Cape Town, South Africa",5/2/1990,29/8/2022,32.0,11.0
12,Tatiana Maslany,F,"Regina, Saskatchewan, Canada",22/9/1985,Alive,36.0,75.0
13,Rhys Ifans,M,"Haverfordwest, Pembrokeshire, Wales, UK",22/7/1967,Alive,55.0,83.0
14,Tom Sturridge,M,"Lambeth, London, England, UK",21/12/1985,Alive,36.0,27.0
15,Michelle Monaghan,F,"Winthrop, Iowa, USA",23/3/1976,Alive,46.0,53.0
16,Austin Butler,M,"Anaheim, California, USA",17/8/1991,Alive,31.0,36.0
17,Pilou Asbæk,M,"Copenhagen, Denmark",2/3/1982,Alive,40.0,47.0
18,Sonoya Mizuno,F,"Tokyo, Japan",1/7/1986,Alive,36.0,22.0
19,Tom Cruise,M,"Syracuse, New York, USA",3/7/1962,Alive,60.0,50.0
20,Jennifer Connelly,F,"Catskill Mountains, New York, USA",12/12/1970,Alive,51.0,54.0
21,Ana de Armas,F,"Havana, Cuba",30/4/1988,Alive,34.0,32.0
22,Boyd Holbrook,M,"Prestonsburg, Kentucky, USA",1/9/1981,Alive,41.0,47.0
23,Sylvester Stallone,M,"New York City, New York, USA",6/7/1946,Alive,76.0,97.0
24,Sydney Sweeney,F,"Spokane, Washington, USA",12/9/1997,Alive,24.0,50.0
25,Amber Midthunder,F,USA,26/4/1997,Alive,25.0,32.0
26,Robert Aramayo,M,"Kingston upon Hull, England, UK",6/11/1992,Alive,29.0,17.0
27,Florence Pugh,F,"Oxford, Oxfordshire, England, UK",3/1/1996,Alive,26.0,28.0
28,Markella Kavenagh,F,Australia,__/__//2000,Alive,22.0,10.0
29,Olivia Wilde,F,"New York City, New York, USA",10/3/1984,Alive,38.0,65.0
30,Graham McTavish,M,"Glasgow, Scotland, UK",4/1/1961,Alive,61.0,134.0
31,Mason Alexander Park,M,"Fairfax, Virginia, USA",12/7/1995,Alive,27.0,11.0
32,Miles Teller,M,"Downingtown, Pennsylvania, USA",20/2/1987,Alive,35.0,36.0
33,Ismael Cruz Cordova,M,Puerto Rico,7/4/1987,Alive,35.0,30.0
34,Domhnall Gleeson,M,"Dublin, Ireland",12/5/1983,Alive,39.0,51.0
35,Carla Gugino,F,"Sarasota, Florida, USA",29/8/1971,Alive,51.0,106.0
36,Tom Hopper,M,"Coalville, Leicestershire, England, UK",28/1/1985,Alive,37.0,27.0
37,Monica Barbaro,F,"San Francisco, California, USA",17/6/1989,Alive,33.0,34.0
38,Javon 'Wanna' Walton,M,,,,,5.0
39,Benjamin Walker,M,"Georgia, USA",21/6/1982,Alive,40.0,26.0
40,Val Kilmer,M,"Los Angeles, California, USA",31/12/1959,Alive,62.0,105.0
41,Steve Toussaint,M,UK,22/3/1965,Alive,57.0,72.0
42,Jordan Peele,M,"New York City, New York, USA",21/2/1979,Alive,43.0,54.0
43,Millie Bobby Brown,F,"Málaga, Andalucía, Spain",19/2/2004,Alive,18.0,17.0
44,Zendaya,F,"Oakland, California, USA",1/9/1996,Alive,26.0,50.0
45,Glen Powell,M,"Austin, Texas, USA",21/10/1988,Alive,33.0,51.0
46,Emilia Clarke,F,"London, England, UK",23/10/1986,Alive,35.0,24.0
47,Kelly McGillis,F,"Newport Beach, California, USA",9/7/1957,Alive,65.0,54.0
48,Jenna Ortega,F,"Coachella Valley, California, USA",27/9/2002,Alive,19.0,43.0
49,Shia LaBeouf,M,"Los Angeles, California, USA",11/6/1986,Alive,36.0,63.0
50,Jessica Henwick,F,"Surrey North Western, Surrey, England, UK",30/8/1992,Alive,30.0,43.0
51,Mark Wahlberg,M,"Dorchester, Boston, Massachusetts, USA",5/6/1971,Alive,51.0,76.0
52,Sophia Tatum,F,,,,,8.0
53,Moises Arias,M,"New York City, New York, USA",18/4/1994,Alive,28.0,45.0
54,Dominic Sherwood,M,,,,,14.0
55,Lili Reinhart,F,"Cleveland, Ohio, USA",13/9/1996,Alive,25.0,22.0
56,Lucy DeVito,F,"New York City, New York, USA",11/3/1983,Alive,39.0,50.0
57,Brendan Fraser,M,"Indianapolis, Indiana, USA",3/12/1968,Alive,53.0,77.0
58,Leonardo DiCaprio,M,"Hollywood, Los Angeles, California, USA",11/11/1974,Alive,47.0,46.0
59,Kevin Hart,M,"Philadelphia, Pennsylvania, USA",6/7/1979,Alive,43.0,96.0
60,Brad Pitt,M,"Shawnee, Oklahoma, USA",18/12/1963,Alive,58.0,84.0
61,Joey King,F,"Los Angeles, California, USA",30/7/1999,Alive,23.0,72.0
62,Armie Hammer,M,"Los Angeles, California, USA",28/8/1986,Alive,36.0,42.0
63,Fabien Frankel,M,,,,,6.0
