,Name,Gender,Born in,Birth,Death,Age,Movies/Series
0,Ana de Armas,F,"Havana, Cuba",30/4/1988,Alive,34.0,32
1,Amber Midthunder,F,USA,26/4/1997,Alive,25.0,31
2,Sofia Carson,F,"Fort Lauderdale, Florida, USA",10/4/1993,Alive,29.0,61
3,Nicholas Galitzine,M,"London, England, UK",29/9/1994,Alive,27.0,13
4,Tom Sturridge,M,"Lambeth, London, England, UK",21/12/1985,Alive,36.0,27
5,Leslie Grace,F,"The Bronx, New York City, New York, USA",7/1/1995,Alive,27.0,11
6,Melissa Barrera,F,"Monterrey, Nuevo León, Mexico",4/7/1990,Alive,32.0,20
7,Millie Bobby Brown,F,"Málaga, Andalucía, Spain",19/2/2004,Alive,18.0,17
8,Joey King,F,"Los Angeles, California, USA",30/7/1999,Alive,23.0,72
9,Jamie Campbell Bower,M,"London, England, UK",22/11/1988,Alive,33.0,25
10,Zoey Deutch,F,"Los Angeles, California, USA",10/11/1994,Alive,27.0,36
11,Nichelle Nichols,F,"Robbins, Illinois, USA",28/12/1932,30/7/2022,89.0,69
12,Jessica Henwick,F,"Surrey North Western, Surrey, England, UK",30/8/1992,Alive,29.0,43
13,Ryan Gosling,M,"London, Ontario, Canada",12/11/1980,Alive,41.0,48
14,Joseph Quinn,M,"London, England, UK",15/5/1993,Alive,29.0,17
15,Paul Walter Hauser,M,"Grand Rapids, Michigan, USA",15/10/1986,Alive,35.0,48
16,Anne Heche,F,"Aurora, Ohio, USA",25/5/1969,Alive,53.0,92
17,Austin Butler,M,"Anaheim, California, USA",17/8/1991,Alive,30.0,36
18,Alexandra Breckenridge,F,"Bridgeport, Connecticut, USA",15/5/1982,Alive,40.0,60
19,Brad Pitt,M,"Shawnee, Oklahoma, USA",18/12/1963,Alive,58.0,84
20,Karl Urban,M,"Wellington, New Zealand",7/6/1972,Alive,50.0,52
21,Jeremy Allen White,M,"Brooklyn, New York, USA",18/2/1991,Alive,31.0,26
22,Boyd Holbrook,M,"Prestonsburg, Kentucky, USA",1/9/1981,Alive,40.0,46
23,Julia Butters,F,"Los Angeles, California, USA",15/4/2009,Alive,13.0,17
24,Taron Egerton,M,"Birkenhead, Cheshire, England, UK",10/11/1989,Alive,32.0,29
25,Angourie Rice,F,Australia,1/1/2001,Alive,21.0,26
26,Erin Moriarty,F,"New York City, New York, USA",24/6/1994,Alive,28.0,28
27,Evangeline Lilly,F,"Fort Saskatchewan, Alberta, Canada",3/8/1979,Alive,43.0,24
28,Antony Starr,M,New Zealand,25/10/1975,Alive,46.0,32
29,Tom Cruise,M,"Syracuse, New York, USA",3/7/1962,Alive,60.0,50
30,Annette O'Toole,F,"Houston, Texas, USA",1/4/1952,Alive,70.0,97
31,Aaron Taylor-Johnson,M,"High Wycombe, Buckinghamshire, England, UK",13/6/1990,Alive,32.0,49
32,Chris Evans,M,"Boston, Massachusetts, USA",13/6/1981,Alive,41.0,58
33,Melanie Lynskey,F,"New Plymouth, New Zealand",16/5/1977,Alive,45.0,84
34,Abigail Spencer,F,"Gulf Breeze, Florida, USA",4/8/1981,Alive,41.0,65
35,Tatiana Maslany,F,"Regina, Saskatchewan, Canada",22/9/1985,Alive,36.0,75
36,Natalia Dyer,F,"Nashville, Tennessee, USA",13/1/1995,Alive,27.0,22
37,Taika Waititi,M,"Wellington, New Zealand",16/8/1975,Alive,46.0,44
38,Sasha Jackson,F,"Old Windsor, Berkshire, England, UK",1/8/1988,Alive,34.0,40
39,Anne Winters,F,"Dallas, Texas, USA",3/6/1994,Alive,28.0,26
40,Dane DiLiegro,M,"Lexington, Massachusetts, USA",6/8/1988,Alive,34.0,8
41,Brendan Fraser,M,"Indianapolis, Indiana, USA",3/12/1968,Alive,53.0,77
42,Bailee Madison,F,"Fort Lauderdale, Florida, USA",15/10/1999,Alive,22.0,58
43,Dacre Montgomery,M,"Perth, Australia",22/11/1994,Alive,27.0,12
44,Sadie Sink,F,"Brenham, Texas, USA",16/4/2002,Alive,20.0,15
45,Sofia Pernas,F,"Fes, Morocco",31/7/1989,Alive,33.0,18
46,Sydney Sweeney,F,"Spokane, Washington, USA",12/9/1997,Alive,24.0,50
47,Adrianne Palicki,F,"Toledo, Ohio, USA",6/5/1983,Alive,39.0,46
48,Maya Hawke,F,"New York City, New York, USA",8/7/1998,Alive,24.0,24
49,Pat Carroll,F,"Shreveport, Louisiana, USA",5/5/1927,30/7/2022,95.0,99
50,Gaten Matarazzo,M,"New London, Connecticut, USA",8/9/2002,Alive,19.0,10
51,Daisy Edgar-Jones,F,"Islington, London, England, UK",24/5/1998,Alive,24.0,12
52,Tuc Watkins,M,"Kansas City, Missouri, USA",2/9/1966,Alive,55.0,61
53,Florence Pugh,F,"Oxford, Oxfordshire, England, UK",3/1/1996,Alive,26.0,27
54,Dylan O'Brien,M,"New York City, New York, USA",26/8/1991,Alive,30.0,27
