,Max,Avg,Min
1/1/2021,52,44.4,37
2/1/2021,52,40.4,34
3/1/2021,50,38.4,30
4/1/2021,52,43.7,32
5/1/2021,39,36.4,32
6/1/2021,46,38.0,28
7/1/2021,48,44.0,39
8/1/2021,45,41.2,37
9/1/2021,41,39.0,37
10/1/2021,50,40.5,34
11/1/2021,52,42.3,30
12/1/2021,50,38.7,25
13/1/2021,54,40.8,25
14/1/2021,50,37.7,30
15/1/2021,52,37.1,28
16/1/2021,55,40.2,28
17/1/2021,59,43.2,27
18/1/2021,61,43.3,27
19/1/2021,55,44.5,28
20/1/2021,61,54.5,48
21/1/2021,61,57.2,52
22/1/2021,59,54.0,50
23/1/2021,57,53.9,48
24/1/2021,61,55.8,52
25/1/2021,63,59.8,55
26/1/2021,64,61.4,57
27/1/2021,63,60.0,57
28/1/2021,63,56.1,52
29/1/2021,57,53.6,52
30/1/2021,61,56.7,54
31/1/2021,61,57.7,52
1/2/2021,63,57.6,52
2/2/2021,61,57.8,54
3/2/2021,63,57.4,54
4/2/2021,55,52.8,50
5/2/2021,54,52.9,52
6/2/2021,54,51.7,50
7/2/2021,54,50.0,43
8/2/2021,59,54.5,50
9/2/2021,57,54.4,54
10/2/2021,61,57.6,54
11/2/2021,63,59.2,55
12/2/2021,64,57.9,52
13/2/2021,63,53.1,45
14/2/2021,68,57.0,41
15/2/2021,59,59.0,59
16/2/2021,66,55.2,39
17/2/2021,68,56.1,41
18/2/2021,68,58.5,52
19/2/2021,63,53.3,43
20/2/2021,59,59.0,59
21/2/2021,57,51.5,48
22/2/2021,61,51.7,37
23/2/2021,66,54.1,39
24/2/2021,70,56.6,43
25/2/2021,63,55.7,50
26/2/2021,63,56.9,50
27/2/2021,64,54.8,41
28/2/2021,68,56.9,39
1/3/2021,64,56.7,46
2/3/2021,66,58.2,46
3/3/2021,70,59.7,46
4/3/2021,64,57.6,48
5/3/2021,59,54.2,50
6/3/2021,68,58.8,45
7/3/2021,68,56.9,41
8/3/2021,59,52.7,46
9/3/2021,63,54.5,41
10/3/2021,66,56.3,39
11/3/2021,64,57.3,46
12/3/2021,64,58.8,50
13/3/2021,64,55.8,41
14/3/2021,68,59.3,43
15/3/2021,72,61.3,41
16/3/2021,73,62.5,39
17/3/2021,73,64.1,43
18/3/2021,66,58.7,43
19/3/2021,63,55.1,41
20/3/2021,61,53.9,39
21/3/2021,63,54.2,36
22/3/2021,70,58.6,37
23/3/2021,73,61.5,39
24/3/2021,73,57.7,39
25/3/2021,73,61.3,39
26/3/2021,68,60.4,46
27/3/2021,75,63.5,45
28/3/2021,79,66.5,45
29/3/2021,77,68.1,59
30/3/2021,77,68.7,59
31/3/2021,88,74.6,59
1/4/2021,72,63.6,55
2/4/2021,68,62.2,55
3/4/2021,72,59.2,48
4/4/2021,73,63.3,54
5/4/2021,77,66.3,48
6/4/2021,79,67.8,46
7/4/2021,79,64.3,45
8/4/2021,72,66.1,57
9/4/2021,73,66.0,57
10/4/2021,70,63.3,57
11/4/2021,70,63.9,57
12/4/2021,72,60.5,45
13/4/2021,75,67.7,59
14/4/2021,70,65.0,57
15/4/2021,68,61.9,57
16/4/2021,73,63.9,54
17/4/2021,70,61.6,46
18/4/2021,73,63.8,46
19/4/2021,75,66.9,57
20/4/2021,72,63.8,54
21/4/2021,66,60.7,54
22/4/2021,73,64.3,52
23/4/2021,77,69.5,57
24/4/2021,75,67.0,55
25/4/2021,73,66.4,59
26/4/2021,68,61.1,54
27/4/2021,72,63.8,55
28/4/2021,66,60.5,50
29/4/2021,64,59.1,48
30/4/2021,68,58.9,45
1/5/2021,68,60.0,45
2/5/2021,70,59.9,41
3/5/2021,77,66.0,46
4/5/2021,81,69.0,52
5/5/2021,82,69.7,48
6/5/2021,82,70.1,52
7/5/2021,84,71.5,52
8/5/2021,84,74.1,52
9/5/2021,70,63.4,57
10/5/2021,63,56.8,48
11/5/2021,68,60.5,46
12/5/2021,73,66.4,55
13/5/2021,73,64.7,50
14/5/2021,77,68.2,52
15/5/2021,79,69.8,54
16/5/2021,79,72.0,61
17/5/2021,82,72.5,54
18/5/2021,81,71.7,54
19/5/2021,86,75.0,54
20/5/2021,91,78.2,55
21/5/2021,86,73.6,55
22/5/2021,75,66.0,50
23/5/2021,77,67.3,46
24/5/2021,77,67.5,52
25/5/2021,84,73.0,48
26/5/2021,88,77.7,57
27/5/2021,75,71.0,61
28/5/2021,90,79.0,63
29/5/2021,93,81.0,59
30/5/2021,93,81.6,59
31/5/2021,90,81.4,64
1/6/2021,75,68.7,63
2/6/2021,84,72.6,54
3/6/2021,82,72.3,55
4/6/2021,84,70.9,48
5/6/2021,90,78.4,57
6/6/2021,91,78.3,55
7/6/2021,95,78.5,57
8/6/2021,99,82.6,57
9/6/2021,97,83.2,59
10/6/2021,97,83.1,61
11/6/2021,93,80.2,59
12/6/2021,90,79.4,66
13/6/2021,90,79.6,64
14/6/2021,91,81.1,63
15/6/2021,91,82.0,66
16/6/2021,86,75.9,64
17/6/2021,77,70.4,64
18/6/2021,77,68.1,57
19/6/2021,75,68.5,61
20/6/2021,77,67.4,59
21/6/2021,75,68.3,59
22/6/2021,82,71.1,55
23/6/2021,86,76.2,57
24/6/2021,91,78.6,57
25/6/2021,95,83.0,66
26/6/2021,93,83.9,66
27/6/2021,84,73.9,55
28/6/2021,86,73.6,52
29/6/2021,88,73.2,55
30/6/2021,91,76.4,52
1/7/2021,95,80.6,57
2/7/2021,93,81.8,61
3/7/2021,88,79.5,64
4/7/2021,88,78.1,61
5/7/2021,90,78.2,63
6/7/2021,79,72.7,68
7/7/2021,84,74.3,55
8/7/2021,91,79.8,59
9/7/2021,99,85.5,63
10/7/2021,104,90.0,66
11/7/2021,102,90.4,73
12/7/2021,84,74.4,59
13/7/2021,90,78.9,59
14/7/2021,95,83.2,61
15/7/2021,97,86.8,63
16/7/2021,102,88.9,64
17/7/2021,102,89.8,68
18/7/2021,100,85.3,66
19/7/2021,95,80.8,61
20/7/2021,91,77.3,63
21/7/2021,97,75.6,57
22/7/2021,100,83.0,57
23/7/2021,88,77.6,61
24/7/2021,90,77.9,59
25/7/2021,88,78.2,63
26/7/2021,93,81.3,64
27/7/2021,97,83.0,63
28/7/2021,97,83.2,61
29/7/2021,97,84.2,63
30/7/2021,93,78.7,57
31/7/2021,84,73.7,59
1/8/2021,86,75.3,57
2/8/2021,88,78.8,64
3/8/2021,93,82.8,64
4/8/2021,93,82.6,64
5/8/2021,97,80.3,63
6/8/2021,90,78.1,63
7/8/2021,84,76.8,64
8/8/2021,88,76.5,57
9/8/2021,93,79.2,57
10/8/2021,97,84.7,63
11/8/2021,102,86.5,64
12/8/2021,100,85.7,64
13/8/2021,108,91.8,68
14/8/2021,109,94.6,72
15/8/2021,106,90.3,70
16/8/2021,102,86.7,63
17/8/2021,100,88.1,66
18/8/2021,97,85.1,63
19/8/2021,93,78.5,59
20/8/2021,93,78.0,55
21/8/2021,93,79.0,57
22/8/2021,100,85.1,63
23/8/2021,102,88.4,68
24/8/2021,95,84.9,70
25/8/2021,91,83.2,68
26/8/2021,95,82.9,66
27/8/2021,91,82.0,66
28/8/2021,90,78.3,63
29/8/2021,86,76.0,63
30/8/2021,86,77.5,63
31/8/2021,93,80.9,64
1/9/2021,82,75.9,68
2/9/2021,88,78.3,64
3/9/2021,90,78.9,63
4/9/2021,93,80.2,61
5/9/2021,100,86.8,63
6/9/2021,99,86.3,73
7/9/2021,90,81.0,68
8/9/2021,86,76.1,66
9/9/2021,86,77.5,66
10/9/2021,84,75.5,64
11/9/2021,90,78.7,63
12/9/2021,95,81.7,61
13/9/2021,84,72.0,63
14/9/2021,72,66.2,63
15/9/2021,77,70.1,64
16/9/2021,84,72.9,63
17/9/2021,84,72.1,61
18/9/2021,82,70.4,57
19/9/2021,86,73.5,55
20/9/2021,86,74.8,57
21/9/2021,82,73.6,59
22/9/2021,82,72.0,55
23/9/2021,72,63.9,61
24/9/2021,79,69.4,59
25/9/2021,75,69.0,59
26/9/2021,79,70.5,55
27/9/2021,82,72.5,59
28/9/2021,79,69.8,61
29/9/2021,82,69.9,52
30/9/2021,86,73.2,54
1/10/2021,82,71.1,57
2/10/2021,79,69.1,57
3/10/2021,72,67.6,63
4/10/2021,73,64.5,52
5/10/2021,77,67.4,55
6/10/2021,82,71.3,59
7/10/2021,86,73.9,55
8/10/2021,86,71.8,54
9/10/2021,82,70.7,52
10/10/2021,84,71.8,50
11/10/2021,82,72.1,57
12/10/2021,81,70.9,52
13/10/2021,82,70.5,50
14/10/2021,82,69.1,50
15/10/2021,82,70.1,52
16/10/2021,77,68.3,55
17/10/2021,77,68.6,57
18/10/2021,81,71.4,59
19/10/2021,86,75.8,61
20/10/2021,84,72.5,55
21/10/2021,75,66.5,55
22/10/2021,75,63.5,48
23/10/2021,75,64.0,43
24/10/2021,77,64.2,46
25/10/2021,75,61.5,43
26/10/2021,77,63.3,43
27/10/2021,77,63.4,45
28/10/2021,77,61.2,43
29/10/2021,68,64.0,61
30/10/2021,72,68.6,66
31/10/2021,73,70.8,68
1/11/2021,70,63.2,54
2/11/2021,63,58.6,52
3/11/2021,64,56.0,48
4/11/2021,61,53.5,43
5/11/2021,63,54.1,43
6/11/2021,61,53.0,43
7/11/2021,64,52.0,34
8/11/2021,70,56.4,36
9/11/2021,70,57.1,39
10/11/2021,66,56.2,41
11/11/2021,66,55.9,41
12/11/2021,68,52.9,37
13/11/2021,72,56.9,39
14/11/2021,68,56.3,39
15/11/2021,66,54.5,36
16/11/2021,64,53.7,39
17/11/2021,64,52.6,37
18/11/2021,66,55.5,39
19/11/2021,64,57.7,46
20/11/2021,64,57.0,54
21/11/2021,64,58.0,54
22/11/2021,59,52.8,45
23/11/2021,50,44.3,37
24/11/2021,57,49.4,37
25/11/2021,54,49.3,45
26/11/2021,59,49.0,37
27/11/2021,61,50.7,39
28/11/2021,57,48.1,34
29/11/2021,61,54.2,46
30/11/2021,55,46.0,41
1/12/2021,61,49.2,32
2/12/2021,59,52.8,45
3/12/2021,59,49.7,36
4/12/2021,57,53.8,46
5/12/2021,61,52.1,41
6/12/2021,61,52.2,41
7/12/2021,59,56.7,54
8/12/2021,55,52.7,50
9/12/2021,61,54.2,46
10/12/2021,61,57.7,54
11/12/2021,66,56.6,46
12/12/2021,68,53.8,37
13/12/2021,66,55.5,41
14/12/2021,66,53.6,39
15/12/2021,64,50.9,36
16/12/2021,61,50.2,36
17/12/2021,61,50.9,37
18/12/2021,61,50.8,37
19/12/2021,64,54.4,45
20/12/2021,57,53.9,50
21/12/2021,59,55.5,48
22/12/2021,64,57.8,50
23/12/2021,63,58.2,54
24/12/2021,63,57.3,52
25/12/2021,63,59.0,55
26/12/2021,64,60.1,55
27/12/2021,68,62.3,57
28/12/2021,64,60.9,57
29/12/2021,55,54.6,54
30/12/2021,61,52.1,48
31/12/2021,68,55.9,39
