,Max,Avg,Min
01/01/2021,52.0,44.4,37.0
02/01/2021,52.0,40.4,34.0
03/01/2021,50.0,38.4,30.0
04/01/2021,52.0,43.7,32.0
05/01/2021,39.0,36.4,32.0
06/01/2021,46.0,38.0,28.0
07/01/2021,48.0,44.0,39.0
08/01/2021,45.0,41.2,37.0
09/01/2021,41.0,39.0,37.0
10/01/2021,50.0,40.5,34.0
11/01/2021,52.0,42.3,30.0
12/01/2021,50.0,38.7,25.0
13/01/2021,54.0,40.8,25.0
14/01/2021,50.0,37.7,30.0
15/01/2021,52.0,37.1,28.0
16/01/2021,55.0,40.2,28.0
17/01/2021,59.0,43.2,27.0
18/01/2021,61.0,43.3,27.0
19/01/2021,55.0,44.5,28.0
20/01/2021,61.0,54.5,48.0
21/01/2021,61.0,57.2,52.0
22/01/2021,59.0,54.0,50.0
23/01/2021,57.0,53.9,48.0
24/01/2021,61.0,55.8,52.0
25/01/2021,63.0,59.8,55.0
26/01/2021,64.0,61.4,57.0
27/01/2021,63.0,60.0,57.0
28/01/2021,63.0,56.1,52.0
29/01/2021,57.0,53.6,52.0
30/01/2021,61.0,56.7,54.0
31/01/2021,61.0,57.7,52.0
01/02/2021,63.0,57.6,52.0
02/02/2021,61.0,57.8,54.0
03/02/2021,63.0,57.4,54.0
04/02/2021,55.0,52.8,50.0
05/02/2021,54.0,52.9,52.0
06/02/2021,54.0,51.7,50.0
07/02/2021,54.0,50.0,43.0
08/02/2021,59.0,54.5,50.0
09/02/2021,57.0,54.4,54.0
10/02/2021,61.0,57.6,54.0
11/02/2021,63.0,59.2,55.0
12/02/2021,64.0,57.9,52.0
13/02/2021,63.0,53.1,45.0
14/02/2021,68.0,57.0,41.0
15/02/2021,59.0,59.0,59.0
16/02/2021,66.0,55.2,39.0
17/02/2021,68.0,56.1,41.0
18/02/2021,68.0,58.5,52.0
19/02/2021,63.0,53.3,43.0
20/02/2021,59.0,59.0,59.0
21/02/2021,57.0,51.5,48.0
22/02/2021,61.0,51.7,37.0
23/02/2021,66.0,54.1,39.0
24/02/2021,70.0,56.6,43.0
25/02/2021,63.0,55.7,50.0
26/02/2021,63.0,56.9,50.0
27/02/2021,64.0,54.8,41.0
28/02/2021,68.0,56.9,39.0
01/03/2021,64.0,56.7,46.0
02/03/2021,66.0,58.2,46.0
03/03/2021,70.0,59.7,46.0
04/03/2021,64.0,57.6,48.0
05/03/2021,59.0,54.2,50.0
06/03/2021,68.0,58.8,45.0
07/03/2021,68.0,56.9,41.0
08/03/2021,59.0,52.7,46.0
09/03/2021,63.0,54.5,41.0
10/03/2021,66.0,56.3,39.0
11/03/2021,64.0,57.3,46.0
12/03/2021,64.0,58.8,50.0
13/03/2021,64.0,55.8,41.0
14/03/2021,68.0,59.3,43.0
15/03/2021,72.0,61.3,41.0
16/03/2021,73.0,62.5,39.0
17/03/2021,73.0,64.1,43.0
18/03/2021,66.0,58.7,43.0
19/03/2021,63.0,55.1,41.0
20/03/2021,61.0,53.9,39.0
21/03/2021,63.0,54.2,36.0
22/03/2021,70.0,58.6,37.0
23/03/2021,73.0,61.5,39.0
24/03/2021,73.0,57.7,39.0
25/03/2021,73.0,61.3,39.0
26/03/2021,68.0,60.4,46.0
27/03/2021,75.0,63.5,45.0
28/03/2021,79.0,66.5,45.0
29/03/2021,77.0,68.1,59.0
30/03/2021,77.0,68.7,59.0
31/03/2021,88.0,74.6,59.0
01/04/2021,72.0,63.6,55.0
02/04/2021,68.0,62.2,55.0
03/04/2021,72.0,59.2,48.0
04/04/2021,73.0,63.3,54.0
05/04/2021,77.0,66.3,48.0
06/04/2021,79.0,67.8,46.0
07/04/2021,79.0,64.3,45.0
08/04/2021,72.0,66.1,57.0
09/04/2021,73.0,66.0,57.0
10/04/2021,70.0,63.3,57.0
11/04/2021,70.0,63.9,57.0
12/04/2021,72.0,60.5,45.0
13/04/2021,75.0,67.7,59.0
14/04/2021,70.0,65.0,57.0
15/04/2021,68.0,61.9,57.0
16/04/2021,73.0,63.9,54.0
17/04/2021,70.0,61.6,46.0
18/04/2021,73.0,63.8,46.0
19/04/2021,75.0,66.9,57.0
20/04/2021,72.0,63.8,54.0
21/04/2021,66.0,60.7,54.0
22/04/2021,73.0,64.3,52.0
23/04/2021,77.0,69.5,57.0
24/04/2021,75.0,67.0,55.0
25/04/2021,73.0,66.4,59.0
26/04/2021,68.0,61.1,54.0
27/04/2021,72.0,63.8,55.0
28/04/2021,66.0,60.5,50.0
29/04/2021,64.0,59.1,48.0
30/04/2021,68.0,58.9,45.0
01/05/2021,68.0,60.0,45.0
02/05/2021,70.0,59.9,41.0
03/05/2021,77.0,66.0,46.0
04/05/2021,81.0,69.0,52.0
05/05/2021,82.0,69.7,48.0
06/05/2021,82.0,70.1,52.0
07/05/2021,84.0,71.5,52.0
08/05/2021,84.0,74.1,52.0
09/05/2021,70.0,63.4,57.0
10/05/2021,63.0,56.8,48.0
11/05/2021,68.0,60.5,46.0
12/05/2021,73.0,66.4,55.0
13/05/2021,73.0,64.7,50.0
14/05/2021,77.0,68.2,52.0
15/05/2021,79.0,69.8,54.0
16/05/2021,79.0,72.0,61.0
17/05/2021,82.0,72.5,54.0
18/05/2021,81.0,71.7,54.0
19/05/2021,86.0,75.0,54.0
20/05/2021,91.0,78.2,55.0
21/05/2021,86.0,73.6,55.0
22/05/2021,75.0,66.0,50.0
23/05/2021,77.0,67.3,46.0
24/05/2021,77.0,67.5,52.0
25/05/2021,84.0,73.0,48.0
26/05/2021,88.0,77.7,57.0
27/05/2021,75.0,71.0,61.0
28/05/2021,90.0,79.0,63.0
29/05/2021,93.0,81.0,59.0
30/05/2021,93.0,81.6,59.0
31/05/2021,90.0,81.4,64.0
01/06/2021,75.0,68.7,63.0
02/06/2021,84.0,72.6,54.0
03/06/2021,82.0,72.3,55.0
04/06/2021,84.0,70.9,48.0
05/06/2021,90.0,78.4,57.0
06/06/2021,91.0,78.3,55.0
07/06/2021,95.0,78.5,57.0
08/06/2021,99.0,82.6,57.0
09/06/2021,97.0,83.2,59.0
10/06/2021,97.0,83.1,61.0
11/06/2021,93.0,80.2,59.0
12/06/2021,90.0,79.4,66.0
13/06/2021,90.0,79.6,64.0
14/06/2021,91.0,81.1,63.0
15/06/2021,91.0,82.0,66.0
16/06/2021,86.0,75.9,64.0
17/06/2021,77.0,70.4,64.0
18/06/2021,77.0,68.1,57.0
19/06/2021,75.0,68.5,61.0
20/06/2021,77.0,67.4,59.0
21/06/2021,75.0,68.3,59.0
22/06/2021,82.0,71.1,55.0
23/06/2021,86.0,76.2,57.0
24/06/2021,91.0,78.6,57.0
25/06/2021,95.0,83.0,66.0
26/06/2021,93.0,83.9,66.0
27/06/2021,84.0,73.9,55.0
28/06/2021,86.0,73.6,52.0
29/06/2021,88.0,73.2,55.0
30/06/2021,91.0,76.4,52.0
01/07/2021,95.0,80.6,57.0
02/07/2021,93.0,81.8,61.0
03/07/2021,88.0,79.5,64.0
04/07/2021,88.0,78.1,61.0
