,Date,Max of Day[ºC],Avg of Day[ºC],Min of Day[ºC]
0,01/01/2021,11.1,6.9,2.8
1,02/01/2021,11.1,4.7,1.1
2,03/01/2021,10.0,3.6,-1.1
3,04/01/2021,11.1,6.5,0.0
4,05/01/2021,3.9,2.4,0.0
5,06/01/2021,7.8,3.3,-2.2
6,07/01/2021,8.9,6.7,3.9
7,08/01/2021,7.2,5.1,2.8
8,09/01/2021,5.0,3.9,2.8
9,10/01/2021,10.0,4.7,1.1
10,11/01/2021,11.1,5.7,-1.1
11,12/01/2021,10.0,3.7,-3.9
12,13/01/2021,12.2,4.9,-3.9
13,14/01/2021,10.0,3.2,-1.1
14,15/01/2021,11.1,2.8,-2.2
15,16/01/2021,12.8,4.6,-2.2
16,17/01/2021,15.0,6.2,-2.8
17,18/01/2021,16.1,6.3,-2.8
18,19/01/2021,12.8,6.9,-2.2
19,20/01/2021,16.1,12.5,8.9
20,21/01/2021,16.1,14.0,11.1
21,22/01/2021,15.0,12.2,10.0
22,23/01/2021,13.9,12.2,8.9
23,24/01/2021,16.1,13.2,11.1
24,25/01/2021,17.2,15.4,12.8
25,26/01/2021,17.8,16.3,13.9
26,27/01/2021,17.2,15.6,13.9
27,28/01/2021,17.2,13.4,11.1
28,29/01/2021,13.9,12.0,11.1
29,30/01/2021,16.1,13.7,12.2
30,31/01/2021,16.1,14.3,11.1
31,01/02/2021,17.2,14.2,11.1
32,02/02/2021,16.1,14.3,12.2
33,03/02/2021,17.2,14.1,12.2
34,04/02/2021,12.8,11.6,10.0
35,05/02/2021,12.2,11.6,11.1
36,06/02/2021,12.2,10.9,10.0
37,07/02/2021,12.2,10.0,6.1
38,08/02/2021,15.0,12.5,10.0
39,09/02/2021,13.9,12.4,12.2
40,10/02/2021,16.1,14.2,12.2
41,11/02/2021,17.2,15.1,12.8
42,12/02/2021,17.8,14.4,11.1
43,13/02/2021,17.2,11.7,7.2
44,14/02/2021,20.0,13.9,5.0
45,15/02/2021,15.0,15.0,15.0
46,16/02/2021,18.9,12.9,3.9
47,17/02/2021,20.0,13.4,5.0
48,18/02/2021,20.0,14.7,11.1
49,19/02/2021,17.2,11.8,6.1
50,20/02/2021,15.0,15.0,15.0
51,21/02/2021,13.9,10.8,8.9
52,22/02/2021,16.1,10.9,2.8
53,23/02/2021,18.9,12.3,3.9
54,24/02/2021,21.1,13.7,6.1
55,25/02/2021,17.2,13.2,10.0
56,26/02/2021,17.2,13.8,10.0
57,27/02/2021,17.8,12.7,5.0
58,28/02/2021,20.0,13.8,3.9
59,01/03/2021,17.8,13.7,7.8
60,02/03/2021,18.9,14.6,7.8
61,03/03/2021,21.1,15.4,7.8
62,04/03/2021,17.8,14.2,8.9
63,05/03/2021,15.0,12.3,10.0
64,06/03/2021,20.0,14.9,7.2
65,07/03/2021,20.0,13.8,5.0
66,08/03/2021,15.0,11.5,7.8
67,09/03/2021,17.2,12.5,5.0
68,10/03/2021,18.9,13.5,3.9
69,11/03/2021,17.8,14.1,7.8
70,12/03/2021,17.8,14.9,10.0
71,13/03/2021,17.8,13.2,5.0
72,14/03/2021,20.0,15.2,6.1
73,15/03/2021,22.2,16.3,5.0
74,16/03/2021,22.8,16.9,3.9
75,17/03/2021,22.8,17.8,6.1
76,18/03/2021,18.9,14.8,6.1
77,19/03/2021,17.2,12.8,5.0
78,20/03/2021,16.1,12.2,3.9
